name,content,tags,link
Заповітна посада: до крісла очільника черкаського драмтеатру вже вишикувалася черга охочих (ВІДЕО),"Заповітна посада. До крісла очільника черкаського драмтеатру вже вишикувалася черга охочих. Нагадаю, конкурс на посаду директора театру обласна влада оголосила наприкінці минулого року. Нині вже сформовали виборчу комісію. Очолити обласний драматичний театр хочуть здебільшого люди, дотичні до цієї сфери. Серед таких – нинішній директор драмтеатру Петро Ластівка і його підлеглі:заступник Роман Бурлаков та заслужена артистка Наталія Мамалига. Серед претендентів і Володимир Єфімов, у минулому керівник «Дружби народів», а нині очільник театру у Кропивницькому. Послужити Мельпомені виявили бажання підприємець Руслан Паскалов та ексдепутат Черкаської міської ради, а нині головний адміністратор Черкаського драматичного театру, Олександр Давиденко.","#посада, #драмтеатр, #директор",https://www.vikka.ua/novini-na-vikka/zapovitna-posada-do-krisla-ochilnika-cherkaskogo-dramteatru-vzhe-vishikuvalasya-cherga-oxochix-video/
У міського голови Черкас Анатолія Бондаренка буде нова помічниця (ВІДЕО),"У міського голови Черкас Анатолія Бондаренка буде нова помічниця. 25-річна Яна Побиванець працюватиме у відділі патронатної служби. Досі жінка працювала у міському департаменті освіти та гуманітарної політики. Цю роботу, згідно з декларацією, успішно поєднує із роботою у багатопрофільному молодіжному центрі.Сукупний дохід, згідно з тією ж декларацією, склав трохи більше 152 тисяч гривень за минулий рік. Яна Побиванець балотувалася від мерської політсили до черкаської міської ради, але не набрала необхідної кількості голосів.","#міський голова, #помічниця",https://www.vikka.ua/novini-na-vikka/u-miskogo-golovi-cherkas-anatoliya-bondarenka-bude-nova-pomichnicya-video/
Стартує Всесвітній тиждень обізнаності про рак шийки матки,"Із 18 січня розпочинається Всесвітній тиждень обізнаності про рак шийки матки. Черкакський обласний онкологічний диспансер інформує про небезпеку цього захворювання та важливітсь вчасної профілактики.Ілюстрація зі сторінки Черкаського обласного онкодиспансеруРак шийки матки (РШМ) – одна з найбільш поширених патології у структурі онкогінекологічних захворювань, що трапляється в жінок фертильного та працездатного віку (середній вік – до 45 років). Близько 90 % жінок можуть повністю вилікуватися, якщо звернуться до лікаря на початковій стадії захворювання: коли немає скарг та ще відсутні будь-які клінічні симптоми. Фахівці можуть здійснити органозберігаюче хірургічне втручання, а жінки – зберегти репродуктивну функцію.Протягом тривалого періоду рак шийки матки має безсимптомний перебіг.Серед найбільш поширених симптомів: нетипова вагінальна кровотеча (після менопаузи, статевого акту або між регулярними менструаціями), нехарактерні виділення, дискомфорт під час статевого акту та біль у попереку/між тазостегновими кістками.Жінкам варто раз на рік проходити обстеження за наявності кількох факторів ризику, як-от: – куріння – ВІЛ-інфекція – ослаблена імунна система через прийом кортикостероїдів чи імуносупресорів – часта зміна статевих партнерів – рак шийки матки у близьких родичок (матері/бабусі/сестри) – ранній початок статевих стосунків (до 16 років).Якщо ж існує високий ризик розвитку раку, то із 30 років пацієнткам необхідно робити комбінований тест: ПАП-тест і ВПЛ-тест на наявність інфікування високоонкогенними типами вірусу папіломи людини (ВПЛ), що є основною причиною виникнення понад 90% злоякісних пухлин шийки матки.Найбільш ефективним методом профілактики раку шийки матки є вакцинація від високоонкогенних типів ВПЛ. Нині існує три вакцини, що затверджені FDA (Управління санітарного нагляду за якістю харчових продуктів та медикаментів):– «Церварикс» (двовалентна вакцина проти ВПЛ 16 та 18 типів)– «Гардасіл» (чотиривалентна – проти ВПЛ 6, 11, 16 та 18 типів)– «Гардасіл 9» (нова 9-валентна вакцина – проти ВПЛ 6, 11, 16, 18, 31, 33, 45, 52, 58 типів – в Україні легально з’явиться не раніше 2024 року).Не менш важливою стратегією боротьби проти раку шийки матки є скринінг і лікування передракових станів, раннє виявлення й невідкладне лікування інвазивного раку на ранніх стадіях.Читайте також: Для Канівської лікарні придбали нове обладнання.","#онкологія, #медицина, #жіноче здоров'я, #Черкаський онкодиспансер, #рак шийки матки",https://www.vikka.ua/novini/zdorovya/startuye-vsesvitnij-tizhden-obiznanosti-pro-rak-shijki-matki/
"Майже мільйон гривень сплатять мігранти, яких затримали на Черкащині","Майже мільйон гривень сплатять до бюджету порушники міграційного законодавства, яких затримали на Черкащині 2021 року. Про це інформує пресслужба Міграційної служби в Черкаській області.В Управлінні ДМС підрахували, що торік на території області до адміністративної відповідальності притягнули 562 порушників міграційного законодавства, з них 235 – нелегальні мігранти.Примусово повернули на батьківщину 222 людей, 11 іноземців примусово видворили. 162 порушникам міграційного законодавства заборонили в’їзд в Україну строком від 3 до 5 років, шістьом – скорочено термін перебування в Україні.Загалом на порушників накладено штрафів на 989 500 грн.Для порівняння: у 2020 році на 50,1% менше притягнуто до адмінвідповідальності порушників міграційних правил, а сума сплачених штрафів склала 417 650 грн.Читайте також: «Багаті» та «бідні» голови громад Золотоніського району (РЕЙТИНГ).","#штраф, #ДМС, #міграційна служба, #Черкаська область, #мігранти",https://www.vikka.ua/novini/majzhe-miljon-griven-splatyat-migranti-yakix-zatrimali-na-cherkashhini/
Що варто знати перед “моржуванням”? (ВІДЕО),"Пірнати чи не пірнати? Час таких майже Гамлетівських запитань для черкасців настає напередодні Водохреща. Охочих з кожним роком більшає. Хтось заради фото у соцмережах, хтось хоче змити гріхи та набратися здоров’я. Стосовно останніх двох пунктів ми і вирішили розпитати у фахівців. З подробицями –  Марія Гаврилян:","#Водохреща, #моржування",https://www.vikka.ua/novini-na-vikka/shho-varto-znati-pered-morzhuvannyam-video/
"Патрульні допомогли водієві, який заглух біля черкаської дамби","Патрульні допомогли чоловікові, у якого неподалік черкаської дамби заглух автомобіль. Про це повідомили на сторінці патрульної поліції Черкаської області.Це сталося 14 січня поблизу села Благодатне. В одному з телеграм-чатів патрульні помітили пост із проханням про допомогу. Чоловік повідомляв, що в його автомобілі Skoda повністю розрядився акумулятор і він заглух.На прохання відгукнулися патрульні. Чоловік розповів, що вже кілька годин просить про допомогу й разом із дівчиною дуже змерзли.Завести двигун так і не вдалося, тому інспектори довезли обох додому, а автівку чоловік обіцяв забрати самостійно наступного дня.Відео патрульних:Читайте також: На Черкащині затримали автовикрадача.","#поліція, #дамба, #патрульні, #акумулятор, #допомога, #Благодатне, #Черкаська область",https://www.vikka.ua/novini/cherkashchina/patrulni-dopomogli-vodiyevi-yakij-zaglux-bilya-cherkaskoyi-dambi/
Секрети здоров’я та довголіття. Система 5/95 (ВІДЕО),"Використання “Системи 5/95” від “NovuMedical” вдома.Хочете завжди бути здоровими, активними та повними сил? Тоді обов’язково дивіться програму “Секрети здоров’я та довголіття”. У ній ми розкажемо про унікальну оздоровчу “Систему 5/95” від “NovuMedical”, яка дозволяє легко та комфортно піклуватися про своє здоров’я вдома, на роботі і де вам зручно. Також ми розкажемо чим корисно поєднувати здоровий спосіб життя, правильне харчування, релакс та догляд за собою із фізіотерапією та які результати це дає. Ми розкриємо всі секрети, чим корисне масажне обладнання системи для Вашого здоров’я і де його можна безкоштовно протестувати в Черкасах! Приємного перегляду програми!В програмі використано інформацію на правах реклами. Рекламований товар не є лікарським засобом, медичним виробом, методом профілактики, діагностики, лікування та реабілітації. Перед початком використання обладнання – проконсультуйтеся у лікаря. Самолікування може бути шкідливим для вашого здоров’я.","#лікування, #лікар",https://www.vikka.ua/informatsiya-ta-analitika/sekreti-zdorovya-ta-dovgolittya-sistema-5-95-video/
"У Черкасах «Четверта влада» запитає те, чого не питають інші","На телеканалі «ВІККА» стартує новий суспільно-політичний проект – програма «Четверта влада». Ведуча – відома у Черкасах тележурналіст Ольга Мальована.Програма виходитиме щосереди о 19-20 в прямому ефірі. Гостями будуть як місцеві політики, так і експерти, діячі культури, спортсмени.Ольга Мальована обіцяє, що буде цікаво. На гостей чекають гострі запитання. «Наше кредо: ми запитаємо те, чого не питають інші», – зазначила журналіст.Щосереди, о 19-20, програма «Четверта влада».","#ВІККА, #новини Черкас, #Четверта влада, #Мальована",https://www.vikka.ua/novini/u-cherkasax-chetverta-vlada-zapitaye-te-chogo-ne-pitayut-inshi/
Погода на 18 січня: прогнозують сильний вітер,"Прогноз погоди на 18 січня у Черкасах та Черкаській області оприлюднив Синоптик.В усьому регіоні очікується посилення швидкості вітру до 15-24 м/с.У Черкасах протягом усього дня небо буде вкрите хмарами. Уночі очікується сніг. Протягом усього дня, починаючи з ранку, опадів не передбачається. Температура повітря від -4 до -1.У Золотоноші день буде хмарним. Уночі очікується сніг. Протягом усього дня, починаючи з ранку, опадів не передбачається. Від -5 до -1.У Звенигородці протягом усього дня небо буде вкрите хмарами. Уночі йтиме дрібний сніг. Вранці розпогодиться, та більше цього дня опадів не передбачається. Температурний мінімум протягом доби -5, максимум -2.В Умані протягом усього дня погода буде похмурою. Уночі буде дрібний сніг. Вранці, вдень та ввечері – без опадів. На термометрі протягом доби від -5 до -1.Народний прогноз погоди: 18 січня відзначається Водохресний святвечір, переддень Богоявлення. Цього дня дотримуються суворого посту, тому переддень Богоявлення називають ще Голодною кутею. Якщо цього дня заметіль, сніг і поземка — бути хорошому врожаю. Якщо зоряна ніч на Водохрещу — буде врожай ягід, гороху і хліба. Сильні південні вітри 18 січня передвіщають грозове літо, а заметіль на Водохрещу приносить заметіль на Масницю. Повний місяць цього дня обіцяє великий розлив річок навесні.Як повідомляла раніше vikka.ua, через хвилю «замінувань» черкаські учні навчатимуться дистанційно","#Умань, #Золотоноша, #синоптик, #Звенигородка, #погода черкаси",https://www.vikka.ua/novini/pogoda-na-18-sichnya-prognozuyut-silnij-viter/
"Продукти, які вбивають повільно: дайджест «здоров’я» від «ВІККА» (ВІДЕО)","Продукти, які виснажують організм і, навпаки, – які надають енергії. Разом із нутриціологом наші кореспонденти пройшлися магазином і зібрали корисний продуктовий кошик. Що потрібно вводити в зимовий раціон, а від чого варто відмовитися, розповідаємо в сюжеті.","#продукти, #здорове харчування, #разіон",https://www.vikka.ua/novini-na-vikka/produkti-yaki-vbivayut-povilno-dajdzhest-zdorovya-vid-vikka-video/
