name,content,tags,link
Учні повертаються додому: черкаські школи знову «замінували» (ОНОВЛЕНО),"Знову з’явилося повідомлення про ніби-то замінування всіх шкіл у місті Черкаси. Про це повідомляє заступниця міського голови Черкас Анастасія Чубіна.Діти сьогодні навчатимуться дистанційно. У міській раді розглядають тимчасовий перехід на планове дистанційне навчання.У батьківські чати надсилають такі повідомлення від «мінера»:Як повідомляла раніше vikka.ua, «Закликаємо зберігати спокій» – СБУ про хвилю псевдомінувань.","#школа, #дистанційне навчання, #новини черкаси, #замінування шкіл",https://www.vikka.ua/novini/uchni-povertayutsya-dodomu-cherkaski-shkoli-znovu-zaminuvali/
В одному з черкаських дитсадків – нова керівниця,"У дошкільного навчального закладу №65 «Котигорошко», що на вулиці Хоменка 18/1, – нова завідувачка. Про це повідомив міський голова Черкас Анатолій Бодаренко.Фото зі сторінки Анатолія БондаренкаВін разом зі своєю заступницею Анастасією Чубіною представив нову директорку колективу дитсадка. Нею стала Наталія Петраш.Попередня очільниця Ольга Григораш пішла на заслужений відпочинок.Як повідомив міський голова, Наталія Петраш має дві вищі педагогічні освіти й 17 років досвіду роботи з дітьми. Останні п’ять років працювала вихователем-методистом в одному з садочків Черкас, перед тим – вихователем у цьому ж закладі.– Відповідальна, організована, людяна та комунікабельна – такі відгуки ми почули від її колег. Серед найважливіших завдань, які стоятимуть перед Наталією Олексіївною, – вдосконалити 65-й садочок, особливо в умовах сучасних змін та викликів, створити тут комфортний простір, умови для професійної самореалізації вихователів та розвитку маленьких вихованців. Аби в ньому завжди була дружня атмосфера й батьки спокійно залишали своїх дітей, – сказав Бондаренко.Читайте також: Майже 200 учнів з міста Черкаси візьмуть участь в обласних олімпіадах.","#Черкаси, #дитсадок, #дитячий садок, #дошкільна освіта",https://www.vikka.ua/novini/cherkasy/v-odnomu-z-cherkaskix-sadochkiv-nova-kerivnicya/
"У Золотоноші оштрафували чоловіка, який вигорнув на зупинку сніг","У Золотоноші чоловік закидав снігом громадську зупинку, наводячи лад навколо магазину, й отримав штраф. Про це пише видання «Золотоноша.City».Справу розглянули 14 січня на засіданні адміністративної комісії Золотоніської міськради.Ішлося про недобросовісність працівника магазину «Квіти», що розташований поряд із автостанцією. О 6-й годині ранку чоловік прибирав сніг із тротуару і згорнув його на проїжджу частину, що є «кишенею» для зупинки громадського транспорту.Муніципальні інспектори управління ЖКГ зробили продавцеві зауваження і попросили прибрати сніг, та «відповідь була неадекватною». Мовляв, той сніг нагорнула комунальна техніка, тож нехай відгортає вдруге.«Окрім міських вулиць, прогортати треба ще й сільські дороги громади. Навіть якщо на центральні магістралі Золотоноші техніка зайде вдруге, то пройде не одна година. А за цей час відправиться не один автобус, і людям доведеться брести через снігову кашу. До того ж, маневрувати доведеться і водіям», – ці пояснення службовців чоловік слухати не хотів.На продавця склали протокол відповідно до статті 152 Адмінкодексу України. На засіданні комісії ухвалили рішення про мінімальне стягнення з порушника.Нагадаємо, за складання й вивезення снігу в невстановлені місця або вивезення разом зі снігом сміття та інших відходів передбачене покарання – прибирання засміченої території та штраф: на громадян – від 340 до 1360 грн, на посадових осіб, громадян-суб’єктів підприємницької діяльності – від 850 до 1700 грн.Читайте також: У Черкасах встановили місця для складання снігу.","#штраф, #сніг, #Золотоноша, #прибирання снігу",https://www.vikka.ua/novini/cherkashchina/u-zolotonoshi-oshtrafuvali-cholovika-yakij-vigornuv-na-zupinku-snig/
У Черкасах під водою дрон знайшов тіло загиблої людини (ВІДЕО),"На Дніпрі в Черкасах за допомогою підводного дрона натрапили на тіло чоловіка. Про це інформує пресслужба ГУ ДСНС у Черкаській області.Це сталося біля пляжу «Рів’єра», на відстані близько 150 метрів від берега учора, 16 січня.Під час патрулювання узбережжя Дніпра водолази ДСНС із поліцією помітили місце, де під кригу могла провалитися людина.Спецпризначенці за допомогою підводного дрона обстежили дно річки і натрапиоли на тіло чоловіка.Тіло загиблого підняли з глибини близько 6 метрів і передали працівникам поліції.Обставини події з’ясовують.Відео ДСНС:Читайте також: Разом випивали: на Золотоніщині чоловіка поранили ножем.","#рятувальники, #Дніпро, #загиблий, #тіло, #водолази, #ГУ ДСНС у Черкаській області",https://www.vikka.ua/novini/cherkasy/u-cherkasax-pidvodnij-dron-znajshov-tilo-cholovika-video/
Черкаські фехтувальники здобули медалі чемпіонату України,"16 січня закінчився чемпіонат України з фехтування на шаблях серед юніорів, в якому взяли участь спортсмени з різних куточків країни. Про це повідомляє пресслужба Відділення НОК України в Черкаській області.Черкащину представляли 12 спортсменів.Черкаська команда виборола третє місце змагань. До її складу ввійшли Станіслав Закутній, Ігор Маркунін, Данііл Абросімов, Данііл Лавренюк.Ці змагання стали останнім внутрішнім стартом у сезоні перед чемпіонатом Європи та світу.Черкащанин Станіслав Закутній виборов місце в національній збірній команді України, яка візьме участь у чемпіонат Європи та світу серед кадетів та юніорів.Як повідомляла vikka.ua, дублери «Черкаських Мавп» розділили перемоги з МБК-2 НИКО.","#фехтування, #черкаський спорт, #новини Черкас, #черкаські новини, #новости Черкассы, #спорт Черкаси",https://www.vikka.ua/novini/cherkaski-fextuvalniki-zdobuli-medali-chempionatu-ukrayini/
"Черкащанин показав унікальні кадри Дніпра, скутого кригою (ФОТО)","Відомий черкаський фотограф Анатолій Штока (знаний як Мандрівник Черкас) показав унікальні фото річки Дніпро. Вода, що скута кригою, замерзлі кораблі в порту Черкас, незаймані пляжі і цікаве дно Кременчуцького водосховища.Як повідомляв сайт vikka.ua, під Черкасами із дна Дніпра підняли золото (ФОТО)Читайте новини vikka.ua у зручному форматі:телеграм-канал,сторінка у фейсбуці,акаунт в інстаграмі,ми в TikTok.","#Дніпро, #фотографії, #річка, #річковий порт, #новини Черкас, #новини Черкащини, #фото, #Кременчуцьке водосховище, #крига",https://www.vikka.ua/novini/cherkashhanin-pokazav-unikalni-kadri-dnipra-skutogo-krigoyu-foto/
Дублери «Черкаських Мавп» розділили перемоги з МБК-2 НИКО,"Черкаські Мавпи-2 відіграли черговий тур Вищої ліги. На виїзді підопічні Георгія Ступенчука зустрічалися із командою МБК-2-НИКО. Команди розділили перемоги. Про це інформують на сайті “Черкаських Мавп”.В обох матчах суперники відіграли досить результативно. У першій грі команда з Миколаєва лідирувала в матчі, маючи перевагу у 10 очок. Втім у другій половині черкасці здійснили свій ривок і спочатку відігралися, а в четвертій чверті вже мали лідерство. У підсумку Мавпи-2 перемогли з рахунком 97:89. Потужний матч провів бігмен черкаської команди Владислав Семерич, котрий оформив дабл-дабл – 34 очка + 16 підбирань.У другій грі Миколаїв знову лідирував і цього разу господарів не відпустили свого, довівши матч до перемоги – 89:72.Наступний тур Черкаські Мавпи-2 проведуть 22-23 січня в Черкасах. В гості приїде Маріуполь.Як повідомляла vikka.ua, «Черкаські Мавпи» не вистояли у протистоянні проти харківських «Соколів»","#Черкаські Мавпи, #новини Черкас, #черкаси новини, #черкаси баскетбол, #спорт Черкаси, #Дублери «Черкаських Мавп»",https://www.vikka.ua/novini/dubleri-cherkaskix-mavp-rozdilili-peremogi-z-mbk-2-niko/
На Черкащині дорогу між селами відремонтують за 32 млн грн,"У Золотоніському районі дорогу між селами Благодатне та Крутьки відремонтують за 32 млн. грн. Вартість капітального ремонту 1 км складатиме 6,2 млн. грн. Загалом планують зробити 5 км дороги від так званої «тракторної бригади» до в’їзду у село Крутьки. Інофрмація про тендер оприлюднена на порталі “Прозоро”.Тендер на ремонт дороги провела Служба місцевих автомобільних доріг. Переможцем мільйонної закупівлі стала черкаська компанія «Черкасиміськбуд», що належить родині Анатолія Бурського. Свого часу деякі ЗМІ називали його «улюбленим підрядником губернатора Тулуба».Відомий забудовник дорожче за інших відремонтує виїзд із ЧеркасРоботи планують розпочати наприкінці квітня, а завершити у червні. Кошторисом передбачено заміна дорожнього полотна, асфальтування, розмітка і встановлення дорожніх знаків.Ця ділянки дороги вважається аварійною. За словами місцевих жителів, «там ями по коліна». У попередні роки намагалися провести ямковий ремонт, проте бажаних результатів він не дав.Як повідомляв сайт vikka.ua, на Золотоніщині фонд зарплати керівників – 1,4 млн грн на рік","#ремонт дороги, #Благодатне, #новини Черкащини, #Новини Золотоноша, #Бурський, #Черкасиміськбуд, #Крутьки",https://www.vikka.ua/novini/na-cherkashhini-dorogu-mizh-selami-vidremontuyut-za-32-mln-grn/
Синоптики прогнозують на Черкащині мокрий сніг та пориви вітру,"Погоду Черкащини вдень визначатиме тепла частина чергового північноатлантичного циклону. Тому часом випадатиме мокрий сніг на фоні невеликих «плюсів» у супроводі рвучкого вітру.  Про це повідомляє Черкаський гідрометцентр.На 09:00 температура 1º морозу, вітер південно-західний 6 м/с, відносна вологість повітря 67%, атмосферний тиск 745 мм. рт. ст.За прогнозом на сьогодні: хмарно з проясненнями, мокрий сніг. На дорогах місцями ожеледиця. Вітер південно-західний, 7−12 м/с, вдень пориви 15−20 м/с. Температура -2..3º, у Черкасах 1..3º. Атмосферний тиск падатиме, відносна вологість повітря коливатиметься.Як повідомляла vikka.ua, учні повертаються додому: черкаські школи знову “замінували”","#новости Черкассы, #новини черкаси сьогодні, #Погода в Золотоноші, #Погода Черкас, #Погода Сміла, #температура черкаси, #Прогноз погоди у Черкаській області",https://www.vikka.ua/novini/sinoptiki-prognozuyut-na-cherkashhini-mokrij-snig-ta-porivi-vitru/
"17 січня: історичний дайджест, іменинники і прикмети","17 січня відзначають:День дітей-винахідниківДень канатної дорогиДень Мартіна Лютера КінгаДень прощення себе за невиконання своїх новорічних обіцянокСумний понеділок (У Європі традиційно третій понеділок січня вважають найважчим днем в році)Кінний фестиваль в ЛатвіїНаціональний день «Пізнай краще свого покупця» в СШАНаціональний день гарячого ромового напою в СШАФестиваль північного сяйва в Норвегії. Церква вшановує пам’ять преподобного Феоктиста, ігумена Кукума Сікелійського. Собор 70 апостолів.Цей день в історії730 – початок іконоборства: на сіленції, раді сенаторів і вищого духовенства в Константинополі, візантійський імператор Лев III Ісавр оголосив поклоніння іконам злочином.1209 – у Кембриджі відчинив двері університет.1377 – папський престол повернувся в Рим.1475 – у битві біля міста Васлуй 40-тисячне військо молдавського господаря Стефана III розгромило 120-тисячну турецьку армію.1558 – почалася Лівонська війна.1562 – набрав чинності Сен-Жерменський едикт, яким були офіційно визнані права гугенотів на території Франції.1595 – французький король Генріх Наваррський оголосив війну Іспанії.1605 – уперше опублікований роман Мігеля Сервантеса «Дон Кіхот».1773 – британський корабель «Resolution» під командуванням Джеймса Кука став першим судном, яке перетнуло Південне полярне коло.1805 – у Харкові відкрито перший у східній Україні університет. Нині – Харківський національний університет імені Каразіна – один із найстаріших навчальних вишів України.Імператорський університет у Харкові1822 – у Мітаві (сучасна Єлгава) вийшла перша газета латиською мовою «Латвіешу авізес» («Латиська газета»).1861 – американець Томас Креппер запатентував біде.1893 – група американців на Гаваях, очолювана плантатором Сенфордом Доулом, скинула уряд королеви Ліліуокалані, аби встановити республіку. У 1900 р. Гаваї стали територією США, а в 1959 р. отримали статус штату.1912 – британський мандрівник Роберт Скотт досягнув Південного полюса – через місяць після того, як там побувала експедиція норвезького дослідника Руаля Амундсена.1917 – США придбали в Данії за 25 млн. доларів Віргінські острови.1919 – на станції Яма створено центральний військово-революційний комітет Донбасу.1920 – голова Директорії УНР Симон Петлюра направив ноту до Вищої ради союзних і Сполучених держав у Парижі про допомогу Україні.1920 – почалося виведення американських військ із Сибіру і Далекого Сходу.1921 – у Відні створено Український вільний університет, який восени того ж року був переведений у Прагу.1931 – в СРСР запроваджено всесоюзний фізкультурний комплекс «Готовий до праці й оборони СРСР» (ГТО). Він включав нормативи для п’яти вікових груп від 10 до 60 років. Тих, хто виконував ці нормативи, нагороджували значком ГТО. Комплекс лишався актуальним до кінця 1980-х років.1944 – почалась битва при Монте-Кассіно, внаслідок якої союзні війська заволоділи Римом.1945 – Радянська армія зайняла Варшаву.1945 – в Угорщині безслідно зник шведський дипломат Рауль Валленберг, який врятував від нацистів десятки тисяч євреїв (імовірно, він був заарештований радянськими військами).1966 – американський стратегічний бомбардувальник B-52 під час дозаправки в повітрі зіткнувся над Іспанією з літаком-заправником. В результаті катастрофи загинуло сім осіб, а бомбардувальник втратив чотири водневі бомби. Дві з них при ударі об землю розпалися, одна не постраждала, а четверта упала в море.1969 – «The Beatles» випустили платівку «Yellow Submarine» (англ. «Жовтий підводний човен»).1991 – Гаральд V став королем Норвегії після смерті свого батька, Улафа V.1991 – багатонаціональні сили, дислоковані в зоні Перської затоки, із масованих бомбардувань почали операцію «Буря в пустелі».1992 – група «Queen» випустила знаменитий сингл «The Show Must Go On».2001 – компанія «Monsanto» оголосила про початок польових випробувань першого на планеті генетично модифікованого сорту пшениці. Цього дня народилися1600 – Кальдерон, видатний іспанський драматург та поет, священик.1624 – Гваріно Гваріні, італійський архітектор, математик, богослов.1659 – Антоніо Верачіні, італійський композитор і скрипаль епохи бароко дядько і вчитель композитора і скрипаля епохи пізнього бароко Франческо Марія Верачіні.1706 – Бенджамін Франклін, політичний теоретик, політик, видавець, вчений, винахідник, цивільний активіст, письменник і дипломат, один із засновників США.1734 – Франсуа-Жозеф Ґоссек, французький композитор, якого вважають родоначальником французької симфонії.1820 – Анна Бронте, англійська письменниця, одна з трьох сестер Бронте, автор роману «Незнайомка з Вілдфел-Холу».1849 – Ежен Кар’єр, французький художник і графік.1863 – Костянтин Станіславський, російський актор, режисер, теоретик театру, засновник МХАТу.1885 – Платон Григорович Лапинський, фізик, уродженець с. Дубова Уманського району.1899 – Аль Капоне, американський гангстер.1901 – Григорій Епік, український літературний і громадський діяч, жертва сталінського терору.1904 – Олесь Якимович, білоруський письменник радянської доби.1907 – Григорій Китастий, діяч української музичної культури.1907 – Микола Васильович Попов, заслужений артист України, колишній актор Черкаського академічного обласного музично-драматичного театру.1908 – Богдан-Іван Кордюк, крайовий провідник ОУН на західноукраїнських землях, в’язень польських та німецьких тюрем, публіцист, геолог, професор УВУ.1923 – Микола Білуха, економіст, доктор економічних наук, професор, Заслужений діяч науки і техніки України.1933 – Даліда, співачка й акторка італійського походження.1936 – Леонід Островський, футболіст київського «Динамо», 3-разовий чемпіон СРСР.1939 – Володимир Горбулін, український політик, учений, державний діяч.1939 – Христодул, архієпископ Афінський і всієї Еллади, предстоятель Елладської православної церкви у 1998 – 2008 рр.1942 – Мухаммед Алі (Кассіус Клей), американський боксер.1942 – Роман Горак, український письменник, франкознавець, дослідник життя і творчості багатьох літераторів Прикарпаття.1945 – Семен Альтов, російський письменник-гуморист.1952 – Надія Євгеніївна Запара, майстриня художньої вишивки, жителька м. Черкаси.1961 – Мая Чибурданідзе, грузинська шахістка, екс-чемпіонка світу серед жінок.1962 – Джим Керрі, американський кіноактор.1979 – Оля Полякова, українська співачка.1979 – Олег Лісогор, український плавець.1980 – Максим Чмерковський, українсько-американський танцюрист, чемпіон з латинських танців, хореограф, інструктор, телеведучий та кіноактор.1987 – Олександр Усик, професійний український боксер.Олександр УсикПомерли510 до н. е. – імператор Анней, 3-й імператор Японії, синтоїстське божество, легендарний монарх.1229 – Альберт фон Буксгевден, бременський канонік, єпископ Ліфляндії, засновник Риги.1654 – Паулюс Поттер, нідерландський художник. Один з найвизначніших представників нідерландського живопису Золотого віку.1738 – Жан-Франсуа Дандріє, французький композитор, клавесиніст, органіст.1751 – Томазо Джованні Альбіноні, італійський композитор епохи бароко.1826 – Хуан Крізостомо Хакобо Антоніо де Арріага-і-Бальсола, іспанський композитор баскського походження. За ранню творчість іменований «баскським Моцартом». На честь Арріаги названий оперний театр в Більбао, де йому встановлено пам’ятник.1863 – Орас Верне, французький живописець-баталіст, автор картини «Мазепа серед вовків» (1826).1891 – Йоханнес Йозеф Херман Верхюльст, нідерландський композитор і диригент.1893 – Резерфорд Хейз, 19 президент США (1877–1881).1933 – Луїс Комфорт Тіффані, американський художник і дизайнер, виразник модерну (сецесії) в декоративно-ужитковому мистецтві. Син Чарльза Льюїса Тіффані, засновника знаної у світі ювелірної фірми «Тіффані і Ко».1938 – Пікерінґ Вільям Генрі, американський астроном.1954 – Андрій Лівицький, український громадсько-політичний діяч, 3-й голова Директорії УНР, 1-й президент УНР в екзилі (1926–1954).1957 – Іван Полтавець-Остряниця, український військовик та політичний діяч, ад’ютант гетьмана Павла Скоропадського, обраний Гетьманом Самостійної Соборної України, отаман Українського Вільного Козацтва, отаман Запорізької бригади УВК Української Національної Армії.1961 – Белл Томас, американський письменник українського (лемківського) походження («Василів хліб», 1930 «Друга премія», 1935 «Всі наречені гарні», 1936 «Прийде час», 1946 «В середині життя», 1961 «Зовні доменної печі», 1941).1982 – Варлам Шаламов, прозаїк і поет доби сталінізму. Творець одного з викривальних літературних циклів про систему ГУЛАГ.2002 – Каміло Хосе Села, іспанський письменник і публіцист, лауреат Нобелівської премії з літератури 1989, лауреат Премії Сервантеса (1995).2008 – Боббі Фішер, американський шахіст, одинадцятий чемпіон світу з шахів.2009 – Заболотний Юрій Михайлович, український спортсмен. Сьогодні іменини святкують:Артем, Денис, Архип, Панас, Остап, Зосим, Танасій, Юхимія, Олександр, Ростислав, Афанасій, Марк, Короп, Микола, Семен, Прохор, Юхим, Степан, Пилип, Павло, Тимофій, Трохим, Йосип. Прикмети 17 січня:– Якщо на гілках дерев багато снігу – буде плідний рік для бджолярів.– Чисте небо з повним місяцем – до сильних весняних повеней.– Почути крик лисиці – до непогожої погоди.– Якщо небо безхмарне – будуть затяжні морози. Цитата дня:«Три речі ніколи не повертаються назад – час, слово, можливість. Тому не втрачай часу, вибирай слова, не прогав можливість».Конфуцій","#день в історії, #прикмети, #хто народився, #іменинники, #хто помер, #яке сьогодні свято, #цитати, #17 січня",https://www.vikka.ua/novini/17-sichnya-istorichnij-dajdzhest-imeninniki-i-prikmeti/
